date,symbol,sector,setup,score,entry,stop,target,size,invested,risk_usd,reward_usd,rr,news_sentiment,confirmed_15m,outcome,outcome_date,exit_price,pnl_usd,pnl_pct
2026-08-13,FDX,XLI,EMA20 Pullback,29,332.99,312.87,383.28,13,4329,261,654,2.51,Negative,Yes,,,,,
2026-08-13,SMH,SMH,Squeeze Breakout,27,595.92,526.59,769.23,4,2384,277,693,2.5,N/A,Yes,,,,,
2026-08-13,BAC,XLF,EMA20 Pullback,27,64.01,61.54,70.19,70,4481,173,432,2.5,Neutral,No,STOPPED,2026-08-21,61.54,-172.9,-3.86
2026-08-13,CVX,XLE,EMA20 Pullback,26,197.27,185.87,225.77,22,4340,251,627,2.5,Slightly Positive,Yes,,,,,
2026-08-13,MPC,XLE,ATH Breakout,28,351.99,314.51,445.7,8,2816,300,750,2.5,Positive,No,,,,,
2026-08-13,DAL,XLI,EMA20 Pullback,27,91.74,87.32,102.77,49,4495,216,541,2.5,Positive,No,STOPPED,2026-08-18,87.32,-216.58,-4.82
2026-08-13,PYPL,XLF,Squeeze Breakout,28,60.62,56.57,70.75,74,4486,300,749,2.5,Positive,No,,,,,
2026-08-13,BBY,XLY,EMA20 Pullback,28,85.76,79.0,102.66,44,3773,297,744,2.51,Positive,No,,,,,
2026-08-14,CVX,XLE,Squeeze Breakout,30,200.21,186.02,235.68,21,4204,298,745,2.5,Neutral,Yes,,,,,
2026-08-14,EXPE,XLY,ATH Breakout,26,329.8,297.8,409.8,9,2968,288,720,2.5,Neutral,Yes,,,,,
2026-08-14,COF,XLF,EMA20 Pullback,26,226.16,211.95,261.68,19,4297,270,675,2.5,Positive,Yes,STOPPED,2026-08-20,211.95,-269.99,-6.28
2026-08-14,ALGN,XLV,EMA20 Pullback,25,179.24,165.0,214.84,21,3764,299,748,2.5,Positive,Yes,STOPPED,2026-08-19,165.0,-299.04,-7.94
2026-08-14,MSFT,XLK,Trend Continuation,25,497.2,475.0,552.7,9,4475,200,500,2.5,Neutral,Yes,,,,,
2026-08-14,GD,ITA,EMA20 Pullback,26,395.64,378.87,437.55,11,4352,184,461,2.51,Positive,Yes,,,,,
2026-08-14,BIIB,XBI,EMA20 Pullback,25,209.75,199.58,235.17,21,4405,214,534,2.5,Positive,No,,,,,
2026-08-14,GILD,XBI,EMA20 Pullback,24,137.57,129.02,158.96,32,4402,274,684,2.5,Positive,Yes,,,,,
2026-08-14,HWM,XLI,EMA20 Pullback,27,288.4,276.26,318.75,15,4326,182,455,2.5,Positive,Yes,STOPPED,2026-08-20,276.26,-182.1,-4.21
2026-08-14,BDX,XLV,ATH Breakout,26,183.45,168.91,219.8,20,3669,291,727,2.5,Positive,Yes,,,,,
2026-08-14,NWSA,XLC,EMA20 Pullback,28,29.16,27.42,33.51,154,4491,268,670,2.5,Positive,Yes,,,,,
2026-08-14,PYPL,XLF,Squeeze Breakout,26,61.66,57.18,72.86,66,4070,296,739,2.5,Positive,Yes,,,,,
2026-08-17,EXPE,XLY,ATH Breakout,29,332.69,297.8,419.92,8,2662,279,698,2.5,Positive,Yes,,,,,
2026-08-17,CVX,XLE,Squeeze Breakout,28,200.0,185.87,235.33,21,4200,297,742,2.5,Slightly Positive,Yes,,,,,
2026-08-17,ALGN,XLV,EMA20 Pullback,27,181.31,165.0,222.08,18,3264,294,734,2.5,Positive,Yes,STOPPED,2026-08-19,165.0,-293.58,-9.0
2026-08-17,PYPL,XLF,Squeeze Breakout,26,61.66,57.18,72.86,66,4070,296,739,2.5,Slightly Negative,Yes,,,,,
2026-08-17,BDX,XLV,ATH Breakout,26,183.4,168.85,219.77,20,3668,291,727,2.5,Positive,Yes,,,,,
2026-08-17,SOXX,SOXX,Squeeze Breakout,32,562.83,516.41,678.88,6,3377,279,696,2.49,N/A,Yes,STOPPED,2026-08-19,516.41,-278.52,-8.25
2026-08-17,TECH,XLV,Squeeze Breakout,31,72.59,71.89,74.34,61,4428,43,107,2.49,Neutral,Yes,,,,,
2026-08-17,BAC,XLF,EMA20 Pullback,30,64.82,62.35,70.98,69,4472,170,425,2.5,Neutral,Yes,STOPPED,2026-08-20,62.35,-170.43,-3.81
2026-08-17,BNY,XLF,EMA20 Pullback,29,164.51,156.71,184.01,27,4442,211,526,2.49,Slightly Positive,Yes,,,,,
2026-08-17,XBI,XBI,EMA20 Pullback,27,158.99,147.94,186.62,27,4293,298,746,2.5,N/A,Yes,,,,,
2026-08-17,GILD,XBI,EMA20 Pullback,27,138.85,129.02,163.43,30,4166,295,737,2.5,Positive,No,,,,,
2026-08-17,IBKR,XLF,EMA20 Pullback,27,93.55,85.37,114.0,36,3368,294,736,2.5,Slightly Positive,Yes,,,,,
2026-08-17,XOM,XLE,Squeeze Breakout,29,161.95,150.25,191.18,25,4049,292,731,2.5,Positive,Yes,,,,,
2026-08-18,EXPE,XLY,ATH Breakout,29,332.69,297.8,419.92,8,2662,279,698,2.5,Positive,No,,,,,
2026-08-18,CVX,XLE,Squeeze Breakout,28,200.0,185.87,235.33,21,4200,297,742,2.5,Neutral,Yes,,,,,
2026-08-18,ALGN,XLV,EMA20 Pullback,27,181.31,165.0,222.08,18,3264,294,734,2.5,Slightly Positive,No,STOPPED,2026-08-19,165.0,-293.58,-9.0
2026-08-18,PYPL,XLF,Squeeze Breakout,26,61.66,57.18,72.86,66,4070,296,739,2.5,Neutral,Yes,,,,,
2026-08-18,BDX,XLV,ATH Breakout,26,183.4,168.85,219.77,20,3668,291,727,2.5,Positive,No,,,,,
2026-08-18,KO,XLP,EMA20 Pullback,29,88.75,85.16,97.74,50,4438,180,449,2.49,Positive,No,,,,,
2026-08-18,TECH,XLV,Squeeze Breakout,27,72.43,71.89,73.8,62,4491,34,84,2.47,Neutral,Yes,,,,,
2026-08-18,PCG,XLU,EMA20 Pullback,26,17.94,16.88,20.61,250,4486,266,666,2.5,Slightly Negative,Yes,,,,,
2026-08-18,XOM,XLE,Squeeze Breakout,29,164.54,153.36,192.5,26,4278,291,727,2.5,Positive,No,,,,,
2026-08-18,LMT,ITA,Trend Continuation,28,612.06,577.0,699.71,7,4284,245,614,2.51,Positive,Yes,STOPPED,2026-08-20,577.0,-245.42,-5.73
2026-08-18,LLY,XBI,EMA20 Pullback,28,1216.11,1136.8,1414.38,3,3648,238,595,2.5,Positive,Yes,,,,,
2026-08-18,ABNB,XLY,ATH Breakout,26,184.99,164.67,235.8,14,2590,285,711,2.49,Positive,Yes,,,,,
2026-08-18,ABT,XLV,Trend Continuation,25,113.23,105.5,132.56,38,4303,294,735,2.5,Positive,Yes,,,,,
2026-08-18,GE,XLI,EMA20 Pullback,28,375.09,359.55,413.94,11,4126,171,427,2.5,Positive,Yes,STOPPED,2026-08-19,359.55,-170.94,-4.14
2026-08-18,XBI,XBI,EMA20 Pullback,27,160.11,151.49,181.66,28,4483,241,603,2.5,N/A,Yes,,,,,
2026-08-19,XOM,XLE,Squeeze Breakout,32,165.56,154.31,193.68,26,4305,292,731,2.5,Slightly Positive,Yes,,,,,
2026-08-19,CVX,XLE,ATH Breakout,30,205.74,192.1,239.84,21,4321,286,716,2.5,Neutral,Yes,,,,,
2026-08-19,ROIV,XBI,ATH Breakout,29,37.37,33.11,48.01,70,2616,298,745,2.5,Negative,Yes,,,,,
2026-08-19,LLY,XBI,EMA20 Pullback,29,1225.73,1136.8,1448.05,3,3677,267,667,2.5,Slightly Negative,Yes,,,,,
2026-08-19,GE,XLI,EMA20 Pullback,28,375.09,359.55,413.94,11,4126,171,427,2.5,Slightly Positive,Yes,STOPPED,2026-08-19,359.55,-170.94,-4.14
2026-08-19,KO,XLP,EMA20 Pullback,28,89.8,85.73,99.99,50,4490,204,510,2.5,Slightly Positive,Yes,,,,,
2026-08-19,EXPE,XLY,ATH Breakout,27,331.33,304.2,399.15,11,3645,298,746,2.5,Positive,Yes,,,,,
2026-08-19,PYPL,XLF,Squeeze Setup,27,61.65,57.89,71.05,72,4439,271,677,2.5,Negative,Yes,,,,,
2026-08-19,WPM,XLB,Volume Breakout,26,145.19,128.03,188.1,17,2468,292,729,2.5,Positive,Yes,,,,,
2026-08-19,VKTX,XBI,EMA20 Pullback,27,35.53,32.33,43.51,93,3304,297,742,2.5,Slightly Positive,Yes,,,,,
2026-08-19,GOLD,XLB,Trend Continuation,27,45.53,41.5,55.6,74,3369,298,746,2.5,Neutral,Yes,,,,,
2026-08-19,BDX,XLV,ATH Breakout,27,187.6,173.87,221.94,21,3940,288,721,2.5,Positive,Yes,,,,,
2026-08-20,LLY,XBI,ATH Breakout,32,1280.34,1159.54,1582.34,2,2561,242,604,2.5,Positive,Yes,,,,,
2026-08-20,KO,XLP,EMA20 Pullback,30,90.35,86.17,100.8,49,4427,205,512,2.5,Neutral,Yes,,,,,
2026-08-20,BDX,XLV,ATH Breakout,29,187.6,173.79,222.12,21,3940,290,725,2.5,Positive,Yes,,,,,
2026-08-20,CVX,XLE,ATH Breakout,27,205.76,192.25,239.54,21,4321,284,709,2.5,Slightly Positive,Yes,,,,,
2026-08-20,GOLD,XLB,Trend Continuation,26,45.53,41.5,55.6,74,3369,298,746,2.5,Neutral,Yes,,,,,
2026-08-20,PYPL,XLF,Squeeze Setup,27,61.99,57.89,72.24,72,4463,295,738,2.5,Slightly Positive,Yes,,,,,
2026-08-20,CSX,XLI,EMA20 Pullback,27,51.41,49.71,55.66,87,4473,148,370,2.5,Positive,Yes,,,,,
2026-08-20,ADM,XLP,EMA20 Pullback,26,83.16,76.15,100.7,42,3493,295,736,2.49,Positive,Yes,,,,,
2026-08-20,CORT,XLK,ATH Breakout,27,121.53,109.43,151.77,24,2917,290,726,2.5,Positive,Yes,,,,,
2026-08-20,COP,XLE,ATH Breakout,28,134.42,123.66,161.31,27,3629,290,726,2.5,Positive,No,,,,,
2026-08-20,DASH,XLY,Trend Continuation,28,223.02,206.25,264.96,17,3791,285,713,2.5,Negative,Yes,,,,,
2026-08-20,KDP,XLP,EMA20 Pullback,26,31.66,28.66,39.16,100,3166,300,750,2.5,Slightly Positive,Yes,,,,,
2026-08-21,COP,XLE,ATH Breakout,29,134.89,124.13,161.78,27,3642,290,726,2.5,Positive,Yes,,,,,
2026-08-21,PYPL,XLF,Squeeze Setup,27,62.3,57.89,73.32,68,4236,300,750,2.5,Neutral,Yes,,,,,
2026-08-21,KDP,XLP,EMA20 Pullback,26,31.66,28.66,39.16,100,3166,300,750,2.5,Slightly Positive,Yes,,,,,
2026-08-21,CORT,XLK,ATH Breakout,26,121.05,109.65,149.54,26,3147,296,741,2.5,Neutral,Yes,,,,,
2026-08-21,LLY,XBI,EMA20 Pullback,26,1244.4,1159.54,1456.55,3,3733,255,636,2.49,Positive,No,,,,,
2026-08-21,AMCR,XLB,Squeeze Breakout,28,48.6,44.99,57.61,83,4033,299,748,2.5,Slightly Positive,Yes,,,,,
2026-08-21,ADP,XLI,EMA20 Pullback,28,281.44,265.82,320.49,15,4222,234,586,2.5,Slightly Positive,Yes,,,,,
2026-08-21,V,XLF,EMA20 Pullback,28,370.92,358.05,403.1,12,4451,154,386,2.51,Slightly Negative,Yes,,,,,
2026-08-21,ADM,XLP,EMA20 Pullback,27,82.12,75.74,98.09,46,3778,294,734,2.5,Positive,No,,,,,
2026-08-21,VTR,XLRE,EMA20 Pullback,28,94.0,87.7,109.76,47,4418,296,741,2.5,Positive,Yes,,,,,
2026-08-21,PLTR,XLK,Trend Continuation,27,180.75,168.34,211.78,24,4338,298,745,2.5,Neutral,Yes,,,,,
2026-08-21,WELL,XLRE,EMA20 Pullback,31,239.83,225.33,276.09,18,4317,261,653,2.5,Positive,Yes,,,,,
2026-08-21,CSX,XLI,EMA20 Pullback,29,51.59,49.71,56.29,87,4488,164,409,2.49,Positive,Yes,,,,,
2026-08-21,KO,XLP,EMA20 Pullback,27,91.1,87.04,101.24,49,4464,199,497,2.5,Slightly Positive,Yes,,,,,
2026-08-24,LLY,XBI,EMA20 Pullback,29,1255.4,1163.5,1485.15,3,3766,276,689,2.5,Neutral,No,,,,,
2026-08-24,CSX,XLI,EMA20 Pullback,29,51.59,49.71,56.29,87,4488,164,409,2.49,Positive,Yes,,,,,
2026-08-24,ADP,XLI,EMA20 Pullback,28,280.81,265.82,318.28,16,4493,240,600,2.5,Slightly Positive,Yes,,,,,
2026-08-24,V,XLF,EMA20 Pullback,28,371.04,358.05,403.52,12,4452,156,390,2.5,Neutral,Yes,,,,,
2026-08-24,KO,XLP,EMA20 Pullback,27,91.1,87.03,101.28,49,4464,200,499,2.5,Positive,Yes,,,,,
